Parameter name,Datatype,Default,Description
tpar,``real*8``,``0.35d0``,"Optimization step; in the case of the linear method (itestr4 = -4, -8) reduces the step from its ideal value (tpar = 1) that is unfortunately unstable for large number of variational parameters or small statistics. In the simpler SR method tpar has to be set by hand as in the standard steepest descent method."
nfat,``integer``,``0``,WIP
iboot,``integer``,"- ``0`` no input
- ignore input

  + ``0`` if nmore_force > 1
  + ``0`` if iboot < 0
",Number of step before making averages in the bin of length nweight. nweight-iboot has to be a multiple of nbinr.
nweight,``integer``,``1``,Number of sampling used for each iteration of the optimization steps.
nmore_force,``integer``,``1``,"If dynamics is employed, the number of samples used during the last step of optimization is increased by a factor (nmore_force+1)."
epsi,``real*8``,``10000d0``,Cutoff for reducing too large changes of WF such that Δpsi/\|psi\| > epsi.
eps_dyn5,``real*8``,``0.d0``,WIP
epsdgel,``real*8``,``0.001d0``,WIP
kl,``integer``,"- ``-7`` if no input
- with input value

  + if npar /= 0 or nparsw /= 0 or nparinv /= 0 or npower /= 0

    - ``7`` if kl > 0
    - ``-7`` if kl <= 0
","Method used for the solution of the linear equation Sx = f, where f are energy derivatives and x parameters change in the stochastic reconfiguration. kl=-7 is mandatory for signalnoise=.true. optimization method. It is faster for large number of parameters and small number of sampling per processor. kl=-6 may be useful for small systems/computers when the number of sampling per processor is very large."
idyn,``integer``,"- ``0`` if no input

- if yesquantum is .true. and yesturboq is .true.

  + ``7`` if idyn /= 5, 6, 7, 8
","description(QMC):

To choose the type of ion dynamics. The available options are:

   - idyn=0: No dynamic option specified, i.e. standard optimization at fixed ion positions.
   - idyn=1: First order standard steepest descent dynamics.
   - idyn=2: Second order standard with damping.
   - idyn=3: More accurate.
   - idyn=5: New accelerated molecular dynamics.
   - idyn=6: Even more accurate but never published.
   - idyn=7: New second order Ornstein Uhlenbeck damped Newton dynamics.
   - idyn=8: Standard Ceriotti's second order damped Newton dynamics.
"
nbinr,``integer``,``1``,Number of bins used in the optimization step of length nweight-iboot. This binning is used to estimate error bars during the simulation.
npbra,``integer``,``0``,"If npbra > 0 in the linear method, npbra parameters with the largest signal to noise ratio are also included."
ncg,``integer``,"- ``1`` if no input
- ignore input

  + ``1`` if ncg > 1 and itestrr /= -4
  + ``np`` if ncg > np
  + ``iskipdyn`` if stepcg_recount is .true. and ncg > iskipdyn
","If ncg > 1, a conjugate gradient approach is used with ncg gradients (generated on fly during the run) to accelerate convergence. ncg > 1 can be used only with the linear method (itestr4 = -4, -8)."
minz,``real*8``,``1.d-5``,Minimum/Maximum AGP orbital exponent Z allowed.
maxz,``real*8``,``-1000.d0``,Minimum/Maximum AGP orbital exponent Z allowed.
minzj,``real*8``,"- ``1.d-5`` if no input
- use input value

  + ``minz`` if minzj == -1000.d0 and minz /= -1000.d0
",Minimum/Maximum Jastrow orbital exponent Z allowed.
maxzj,``real*8``,"- if no input

  + ``maxz`` if minz /= -1000.d0
  + ``-1000.d0`` if minz == -1000.d0
",Minimum/Maximum Jastrow orbital exponent Z allowed.
