Parameter name,Datatype,Default,Description
mixing,``real(8)``,"- ``0.25d0`` if typeopt == 2
- ``0.25d0`` if typeopt == 0
- ``1.d0`` if typeopt == 4
- ``0.01d0`` otherwise
","Choose a small value for better convergence. If even in this way it does not converge, switch on the smearing technique setting ``optocc=1`` (suggested for open shell systems). Alternatively you can change iteration method with ``typeopt=3`` (conjugate gradients) which will certainly converge for mixing small enough. In these cases mixing means just the maximum amplitude in the step."
typedft,``integer``,"- if (abs(typedft) == 4 or abs(typedft) == 5) and (symmagp is .false. or ipc == 2)
  + ``1``

- otherwise

  + ``1`` if typedft == 4
  + ``-1`` if typedft == -4
  + ``3`` if typedft == 5
  + ``-3`` if typedft == -5
  + ``2`` otherwise","- ``typedft = 0``: DFT calculation with Hartree potential only.
- ``typedft = 1``: LDA (PZ 1981).
- ``typedft = 2``: LDA (OB 1994).
- ``typedft = -1,-2``: Same as the two above, but with the corresponding fit performed by imposing continuity in the correlation energy at :math:`rs = 1`.
- ``typedft = 3``: KZK finite volume DFT: should be more accurate for finite volume.
- ``typedft = -3``: Different fitting procedure, suitable for open systems. Could be used with periodic systems too, but it is less stable.
- ``typedft = 4``: Standard LSDA.
- ``typedft = -4``: Standard LSDA, but with the corresponding fit performed by imposing continuity in the correlation energy at :math:`rs = 1`.
- ``typedft = 5``: LSDA + KZK (not applied on spin) (``typedft = -5`` similar to ``typedft = -3``)."
maxit,``integer``,``100``,Maximum number of iterations in the self-consistent cycle.
epsdft,``real(8)``,``1.d-7``,Tolerance in the convergence of total energy.
optocc,``integer``,``-1``,"- ``optocc = 0``: Use standard occupation of levels. It works well only for closed shell systems (insulators or special cases). Occupations are read from standard input (see below); the number of occupations read is chosen by the parameter ``nelocc`` (``neloccdo`` for down spin electrons) which must be specified in input. In this case we have ``occupations(1:nelocc) = 2`` for LDA; ``occupations(1:nelocc) = 1`` && ``occupationdo(1:neloccdo) = 1`` for LSDA.
- ``optocc = 1``: Use a smeared Fermi distribution with a spread given by the parameter ``epsshell`` (see below). In this case:  :math:`occupations(i) = \exp{ \frac{eig(i)-ef}{epsshell}+1}` where the Fermi energy :math:`ef` is determined by the constraint, sum(occupations(1:bands)) = no. of electrons via bisection method . For LSDA (``|typedft| = 4, 5``) two Fermi distributions are introduced for up and down electrons. In the case of k-points sampling, the Fermi energy is determined by averaging over :math:`ef` computed for each k-point."
typeopt,``integer``,"- ``4`` if no input

- ignore input or above value

   + ``0`` if compute_bands is .true.","- ``typeopt = 0``: Use self consistency method with standard mixing.
- ``typeopt = 2``: Linear mixing scheme.
- ``typeopt = 3``: Conjugate gradients method with SR acceleration.
- ``typeopt = 4``: Anderson mixing scheme with Jacobian acceleration, no use of mixing is made; this method looks to be the faster and therefore the preferred among the available ones. For information on the algorithm see doc/tex/parbcs.tex, Ch. V"
memlarge,``logical``,``.true.``,Optimize speed at the cost of much greater memory requirements. The whole basis set is saved on disk!
epsover,``real(8)``,``1d-13``,Minimum tolerance for the lowest eigenvalues of the overlap matrix. If ``epsover`` < 0  no orthogonalization is implemented (faster but less stable).
nelocc,``integer``,``0``,"If ``nelocc`` > 0, it is the number of occupations that are read in the last record of the input file. Occupation values can only be (0,2] (paired orbitals), -1 (unpaired at the end) or 0 (unoccupied). If ``nxs`` :math:`\times` ``nys`` :math:`\times` ``nzs`` > 0 this record is just after the ones to read the input magnetization (see below)."
neloccdo,``integer``,``0``,"It is similar to ``nelocc`` but for the spin down electrons which are assumed with no unpaired orbitals. Another record with ``neloccdo`` integers be written below. Note that, in this case occupations for up spin can take values 1 (occupied paired orbital), -1 (unpaired), 0 (unoccupied orbital). Instead occupations for down spin electrons can take values 1 (occupied paired orbital) and 0 (unoccupied orbital)."
